date,new_cases,new_deaths,cum_cases,cum_deaths
2020-01-20,1,0,1,0
2020-01-21,0,0,1,0
2020-01-22,0,0,1,0
2020-01-23,0,0,1,0
2020-01-24,1,0,2,0
2020-01-25,0,0,2,0
2020-01-26,1,0,3,0
2020-01-27,1,0,4,0
2020-01-28,0,0,4,0
2020-01-29,0,0,4,0
2020-01-30,3,0,7,0
2020-01-31,4,0,11,0
2020-02-01,1,0,12,0
2020-02-02,3,0,15,0
2020-02-03,0,0,15,0
2020-02-04,1,0,16,0
2020-02-05,5,0,21,0
2020-02-06,3,0,24,0
2020-02-07,0,0,24,0
2020-02-08,0,0,24,0
2020-02-09,3,0,27,0
2020-02-10,1,0,28,0
2020-02-11,0,0,28,0
2020-02-12,0,0,28,0
2020-02-13,0,0,28,0
2020-02-14,0,0,28,0
2020-02-15,0,0,28,0
2020-02-16,2,0,30,0
2020-02-17,0,0,30,0
2020-02-18,2,0,32,0
2020-02-19,34,0,66,0
2020-02-20,16,1,82,1
2020-02-21,74,0,156,1
2020-02-22,190,2,346,3
2020-02-23,210,0,556,3
2020-02-24,207,4,763,7
2020-02-25,130,1,893,8
2020-02-26,253,2,1146,10
2020-02-27,449,1,1595,11
2020-02-28,427,1,2022,12
2020-02-29,909,3,2931,15
2020-03-01,595,1,3526,16
2020-03-02,686,6,4212,22
2020-03-03,600,5,4812,27
2020-03-04,516,4,5328,31
2020-03-05,438,3,5766,34
2020-03-06,518,7,6284,41
2020-03-07,483,2,6767,43
2020-03-08,367,6,7134,49
2020-03-09,248,1,7382,50
2020-03-10,131,3,7513,53
2020-03-11,242,6,7755,59
2020-03-12,114,6,7869,65
2020-03-13,110,1,7979,66
2020-03-14,107,5,8086,71
2020-03-15,76,3,8162,74
2020-03-16,74,0,8236,74
2020-03-17,84,6,8320,80
2020-03-18,93,3,8413,83
2020-03-19,152,7,8565,90
2020-03-20,87,3,8652,93
2020-03-21,147,8,8799,101
2020-03-22,98,2,8897,103
2020-03-23,64,7,8961,110
2020-03-24,76,9,9037,119
2020-03-25,100,6,9137,125
2020-03-26,104,5,9241,130
2020-03-27,91,8,9332,138
2020-03-28,146,5,9478,143
2020-03-29,105,8,9583,151
2020-03-30,78,6,9661,157
2020-03-31,125,4,9786,161
2020-04-01,101,3,9887,164
2020-04-02,89,4,9976,168
2020-04-03,86,5,10062,173
2020-04-04,94,3,10156,176
2020-04-05,81,6,10237,182
2020-04-06,47,2,10284,184
2020-04-07,47,6,10331,190
2020-04-08,53,7,10384,197
2020-04-09,39,4,10423,201
2020-04-10,27,4,10450,205
2020-04-11,30,3,10480,208
2020-04-12,32,3,10512,211
2020-04-13,25,3,10537,214
2020-04-14,27,5,10564,219
2020-04-15,27,3,10591,222
2020-04-16,22,4,10613,226
2020-04-17,22,1,10635,227
2020-04-18,18,2,10653,229
2020-04-19,8,2,10661,231
2020-04-20,13,2,10674,233
2020-04-21,9,1,10683,234
2020-04-22,11,1,10694,235
2020-04-23,8,2,10702,237
2020-04-24,6,0,10708,237
2020-04-25,10,0,10718,237
2020-04-26,10,2,10728,239
2020-04-27,10,1,10738,240
2020-04-28,14,1,10752,241
2020-04-29,9,2,10761,243
2020-04-30,4,1,10765,244
2020-05-01,9,1,10774,245
2020-05-02,6,2,10780,247
2020-05-03,13,0,10793,247
2020-05-04,8,2,10801,249
2020-05-05,3,2,10804,251
2020-05-06,2,1,10806,252
2020-05-07,4,1,10810,253
2020-05-08,12,0,10822,253
2020-05-09,18,0,10840,253
2020-05-10,34,0,10874,253
2020-05-11,35,0,10909,253
2020-05-12,27,2,10936,255
2020-05-13,26,1,10962,256
2020-05-14,29,1,10991,257
2020-05-15,27,0,11018,257
2020-05-16,19,2,11037,259
2020-05-17,13,0,11050,259
2020-05-18,15,1,11065,260
2020-05-19,13,0,11078,260
2020-05-20,32,0,11110,260
2020-05-21,12,1,11122,261
2020-05-22,20,0,11142,261
2020-05-23,23,2,11165,263
2020-05-24,25,0,11190,263
2020-05-25,16,1,11206,264
2020-05-26,19,2,11225,266
2020-05-27,40,0,11265,266
2020-05-28,79,0,11344,266
2020-05-29,58,0,11402,266
