as_of_date,region,cum_cases,cum_deaths
2023-08-31,계(명),34572554,35605
2023-08-31,경기,9266797,8585
2023-08-31,서울,6751335,6587
2023-08-31,부산,2092642,2911
2023-08-31,경남,2075991,2065
2023-08-31,인천,1991892,1941
2023-08-31,경북,1581207,2177
2023-08-31,대구,1516421,2050
2023-08-31,충남,1390798,1638
2023-08-31,전북,1167948,1261
2023-08-31,전남,1142483,1083
2023-08-31,충북,1075474,1093
2023-08-31,광주,1018499,868
2023-08-31,대전,1013275,1003
2023-08-31,강원,1005836,1406
2023-08-31,울산,738128,543
2023-08-31,제주,451523,317
2023-08-31,세종,273413,61
2023-08-31,검역,18892,16
